CODIGO ESTACION;ESTACION;ANO;MES;DIA;HORA;PM 10;PM 2.5;SO2;NO2;O3;CO
112192;ATE;2010;4;1;0;;;39.8;;;
112192;ATE;2010;4;1;1;135.69;;29.9;47.2;;
112192;ATE;2010;4;1;2;135.84;;26.5;44.1;;
112192;ATE;2010;4;1;3;119.06;;25.9;41.4;;
112192;ATE;2010;4;1;4;104.95;;23.3;40.5;;
112192;ATE;2010;4;1;5;84.92;;22.5;39;;
112192;ATE;2010;4;1;6;88.03;;26.7;44.8;;
112192;ATE;2010;4;1;7;112.52;;46.1;46.2;;
112192;ATE;2010;4;1;8;135.32;;50.3;63;;
112192;ATE;2010;4;1;9;172;;11.5;72;;
112192;ATE;2010;4;1;10;117.86;;7.6;61.4;;
112192;ATE;2010;4;1;11;119.2;;6.8;53.2;;
112192;ATE;2010;4;1;12;103.88;;5.8;49;;
112192;ATE;2010;4;1;13;105.87;;6;41.7;;
112192;ATE;2010;4;1;14;145.18;;5.8;45;;
112192;ATE;2010;4;1;15;134.48;;6;43.9;;
112192;ATE;2010;4;1;16;114;;5.2;42.9;;
112192;ATE;2010;4;1;17;129.18;;6.6;35;;
112192;ATE;2010;4;1;18;104.34;;16.2;40.7;;
112192;ATE;2010;4;1;19;112.25;;18.3;41.6;;
112192;ATE;2010;4;1;20;132.1;;51.4;38.1;;
112192;ATE;2010;4;1;21;126.26;;30.1;43.7;;
112192;ATE;2010;4;1;22;104.42;;19.1;36.6;;
112192;ATE;2010;4;1;23;85.83;;10.5;36;;
112192;ATE;2010;4;2;0;81.13;;6.3;29.7;;
112192;ATE;2010;4;2;1;62.05;;8.1;26.3;;
112192;ATE;2010;4;2;2;60.97;;14.4;27.1;;
112192;ATE;2010;4;2;3;69.25;;25.9;26.3;;
112192;ATE;2010;4;2;4;79.98;;24.1;28.3;;
112192;ATE;2010;4;2;5;79.94;;43.5;29.1;;
112192;ATE;2010;4;2;6;113.02;;52.4;31.9;;
112192;ATE;2010;4;2;7;143.68;;57.6;32.1;;
112192;ATE;2010;4;2;8;182.52;;41.4;37.4;;
112192;ATE;2010;4;2;9;92.6;;15.2;42.9;;
112192;ATE;2010;4;2;10;127.88;;6.6;63.2;;
112192;ATE;2010;4;2;11;79.57;;5.2;54.9;;
112192;ATE;2010;4;2;12;78.42;;4.2;44.7;;
112192;ATE;2010;4;2;13;84.96;;3.4;34.3;;
112192;ATE;2010;4;2;14;67.28;;2.9;25.3;;
112192;ATE;2010;4;2;15;68.72;;3.1;22.4;;
112192;ATE;2010;4;2;16;61.56;;3.4;22.3;;
112192;ATE;2010;4;2;17;61.99;;4.7;27.6;;
112192;ATE;2010;4;2;18;76.74;;12.6;31.3;;
112192;ATE;2010;4;2;19;83.01;;51.4;35.7;;
112192;ATE;2010;4;2;20;102.19;;19.7;39.2;;
112192;ATE;2010;4;2;21;94.98;;7.3;42.9;;
112192;ATE;2010;4;2;22;85.08;;5;36.7;;
112192;ATE;2010;4;2;23;68.98;;4.2;33.2;;
112192;ATE;2010;4;3;0;53.63;;8.9;32.4;;
